,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn
1059,0,No,No,23,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.6,1
6473,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,Month-to-month,No,Electronic check,94.4,1
140,1,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Two year,Yes,Others,88.05,0
446,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,No,Others,69.55,1
2861,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,81.95,1
5348,0,No,Yes,25,No,No,DSL,Yes,No,No,No,One year,Yes,Others,40.65,0
6912,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,85.5,0
4721,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,No,Others,20.25,1
2578,1,Yes,Yes,31,Yes,No,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.9,1
4617,0,No,No,2,Yes,No,No,No,No,No,No,Month-to-month,Yes,Others,20.7,0
6004,0,Yes,Yes,67,Yes,No,Fiber optic,Yes,Yes,Yes,No,One year,No,Others,84.8,0
4134,0,Yes,No,55,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Others,103.65,0
2120,0,Yes,Yes,55,Yes,No,No,No,No,No,No,Two year,No,Others,21.0,0
288,1,No,No,8,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,74.5,1
2939,1,No,No,12,Yes,No,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Others,83.8,1
2340,0,Yes,Yes,48,No,No,DSL,Yes,No,Yes,No,One year,No,Others,45.0,0
2969,0,Yes,Yes,65,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Two year,No,Electronic check,109.3,0
3574,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,Yes,Others,20.35,0
3422,0,No,No,70,No,No,DSL,Yes,No,Yes,Yes,Two year,Yes,Others,58.35,0
1458,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,No,Electronic check,20.55,1
2664,0,Yes,Yes,62,Yes,Yes,Fiber optic,Yes,Yes,No,No,One year,Yes,Others,94.95,0
2472,0,Yes,No,67,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Two year,No,Others,70.9,0
447,0,Yes,Yes,52,Yes,Yes,No,No,No,No,No,Two year,Yes,Others,25.05,0
2194,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,79.5,1
6317,0,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,79.15,1
4966,0,Yes,Yes,19,Yes,Yes,DSL,No,No,No,No,Month-to-month,No,Others,50.1,0
919,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,Yes,One year,Yes,Others,104.55,0
2924,0,No,No,11,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,74.55,1
2796,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Others,89.8,0
4981,0,No,No,14,No,No,DSL,No,No,Yes,No,Month-to-month,Yes,Electronic check,50.75,1
6771,0,Yes,Yes,31,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,20.65,0
1078,1,No,No,59,Yes,Yes,Fiber optic,No,Yes,No,No,Two year,Yes,Others,79.2,0
5217,0,No,No,10,Yes,Yes,No,No,No,No,No,Month-to-month,Yes,Others,24.5,0
4483,0,Yes,No,67,Yes,Yes,No,No,No,No,No,Two year,No,Others,25.6,0
3525,1,Yes,No,50,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,95.05,1
4767,0,Yes,Yes,1,Yes,No,No,No,No,No,No,One year,No,Others,19.85,0
4163,0,Yes,No,65,Yes,Yes,DSL,Yes,Yes,Yes,No,One year,No,Others,67.05,0
5319,1,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Two year,Yes,Others,109.75,0
6567,0,No,No,15,Yes,Yes,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,99.7,0
1881,0,No,No,26,No,No,DSL,Yes,Yes,No,No,Month-to-month,Yes,Others,44.65,0
2575,0,No,No,35,Yes,No,No,No,No,No,No,Month-to-month,No,Others,19.25,0
6235,1,Yes,Yes,22,No,No,DSL,Yes,No,No,No,Month-to-month,No,Others,40.05,1
6649,0,Yes,Yes,6,Yes,No,No,No,No,No,No,Month-to-month,No,Others,19.85,0
2913,0,No,No,52,No,No,DSL,Yes,Yes,Yes,Yes,Two year,No,Others,63.9,0
746,1,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Others,114.95,0
3742,0,No,No,41,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.5,0
6419,1,Yes,No,69,Yes,Yes,Fiber optic,Yes,Yes,No,No,Month-to-month,Yes,Others,84.9,0
943,0,Yes,No,72,No,No,DSL,Yes,Yes,Yes,Yes,Two year,No,Others,65.5,0
1804,0,Yes,Yes,34,Yes,No,No,No,No,No,No,Month-to-month,No,Others,20.65,0
3471,0,No,No,35,Yes,No,No,No,No,No,No,One year,No,Others,21.1,0
1135,1,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Others,114.65,0
2925,0,Yes,Yes,50,Yes,No,Fiber optic,No,No,Yes,Yes,One year,No,Others,103.05,0
2498,0,Yes,No,27,Yes,No,DSL,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,53.8,0
6432,0,Yes,No,35,Yes,No,DSL,Yes,Yes,Yes,No,Month-to-month,No,Others,61.0,0
2473,0,Yes,Yes,6,Yes,No,No,No,No,No,No,Month-to-month,No,Others,19.85,0
2876,0,No,No,19,Yes,No,No,No,No,No,No,One year,Yes,Others,19.7,0
2802,1,Yes,No,32,Yes,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.9,1
5882,0,Yes,Yes,14,Yes,No,No,No,No,No,No,Two year,Yes,Others,19.7,0
2200,0,No,No,19,Yes,No,DSL,No,Yes,No,No,One year,No,Electronic check,58.2,0
2361,0,No,Yes,1,Yes,No,DSL,No,No,No,No,Month-to-month,No,Others,45.95,1
2469,0,No,No,29,Yes,No,No,No,No,No,No,One year,No,Others,20.0,0
5351,0,No,No,12,Yes,No,Fiber optic,No,No,Yes,No,One year,No,Others,95.5,1
4032,1,Yes,Yes,68,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,84.65,0
6851,0,Yes,Yes,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Two year,Yes,Others,94.9,0
1223,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,75.9,1
2114,0,No,No,40,Yes,No,DSL,Yes,Yes,No,Yes,Month-to-month,Yes,Others,61.9,0
5444,0,Yes,No,45,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Others,107.75,0
1032,1,No,No,8,Yes,No,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,92.1,1
2313,0,Yes,Yes,43,Yes,Yes,Fiber optic,No,No,Yes,Yes,One year,Yes,Others,104.3,0
4344,0,No,No,68,Yes,Yes,DSL,No,Yes,Yes,No,Two year,Yes,Electronic check,80.65,0
3069,0,No,No,10,Yes,No,No,No,No,No,No,Month-to-month,Yes,Others,20.55,0
7023,1,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,103.5,0
2413,0,Yes,Yes,7,No,No,DSL,Yes,No,Yes,Yes,Two year,No,Others,49.65,0
1380,0,Yes,Yes,61,Yes,No,Fiber optic,No,Yes,No,Yes,One year,Yes,Others,98.45,0
3952,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Two year,Yes,Others,108.05,0
6291,0,No,No,59,Yes,Yes,DSL,Yes,Yes,Yes,Yes,One year,No,Others,79.85,0
874,0,No,Yes,45,Yes,Yes,Fiber optic,No,No,Yes,No,Two year,No,Others,99.7,0
3031,1,Yes,No,50,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,71.05,1
208,0,No,No,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,1
4938,0,Yes,Yes,17,Yes,No,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,89.4,1
3666,0,Yes,Yes,50,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Others,84.4,1
5,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,99.65,1
3342,0,No,No,40,No,No,DSL,Yes,Yes,Yes,No,One year,No,Others,62.05,0
1197,0,Yes,No,15,Yes,No,No,No,No,No,No,Month-to-month,Yes,Others,19.45,0
4882,0,No,No,66,No,No,DSL,Yes,Yes,Yes,Yes,Two year,Yes,Others,62.5,0
538,0,Yes,No,69,Yes,No,Fiber optic,No,Yes,No,No,One year,Yes,Others,95.65,0
5475,0,No,Yes,54,Yes,Yes,DSL,No,Yes,No,No,Month-to-month,Yes,Others,55.0,1
2697,0,Yes,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Two year,No,Others,87.95,0
4940,1,No,No,16,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Others,74.45,0
1400,0,No,Yes,3,Yes,No,No,No,No,No,No,Month-to-month,No,Others,19.95,0
4394,0,No,No,19,Yes,Yes,DSL,No,No,Yes,Yes,Month-to-month,No,Electronic check,59.55,0
3037,0,No,No,32,Yes,No,No,No,No,No,No,One year,No,Others,20.35,0
3441,0,Yes,Yes,34,Yes,No,DSL,Yes,Yes,Yes,No,One year,Yes,Others,60.8,0
6553,0,Yes,Yes,61,No,No,DSL,No,Yes,Yes,Yes,Two year,Yes,Others,61.45,0
1590,0,Yes,Yes,63,Yes,No,No,No,No,No,No,Two year,No,Electronic check,19.35,0
3401,0,No,No,56,Yes,No,No,No,No,No,No,Two year,Yes,Others,19.55,0
837,0,No,No,1,Yes,No,DSL,No,No,No,No,Month-to-month,No,Others,44.4,1
4725,0,No,No,1,Yes,Yes,DSL,No,No,Yes,Yes,Month-to-month,No,Others,62.05,1
4464,0,No,No,12,Yes,No,Fiber optic,Yes,No,Yes,No,Month-to-month,No,Others,81.7,1
5968,0,No,No,12,Yes,Yes,DSL,No,No,No,Yes,One year,No,Others,74.05,1
3207,0,No,No,5,Yes,No,No,No,No,No,No,Month-to-month,Yes,Others,19.65,0
2375,1,Yes,No,71,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Others,109.7,0
2078,0,Yes,Yes,16,Yes,No,DSL,Yes,Yes,No,No,One year,Yes,Others,55.85,0
7032,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,75.75,1
999,0,No,No,2,Yes,No,DSL,No,No,No,Yes,Month-to-month,No,Electronic check,70.3,0
925,0,Yes,Yes,32,Yes,No,DSL,Yes,Yes,Yes,Yes,Month-to-month,No,Others,76.3,0
4371,0,Yes,Yes,13,Yes,Yes,No,No,No,No,No,One year,No,Others,24.5,0
4490,1,Yes,No,54,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,One year,Yes,Others,115.6,0
2150,0,No,No,21,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,84.1,0
5850,1,No,No,20,Yes,No,Fiber optic,No,No,No,No,Month-to-month,No,Others,71.3,1
5871,0,No,No,24,Yes,Yes,DSL,Yes,No,No,No,Month-to-month,Yes,Others,55.65,1
5986,1,No,No,11,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Others,79.15,0
4161,1,No,No,2,Yes,No,DSL,No,No,Yes,No,Month-to-month,No,Others,49.95,0
2629,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Month-to-month,No,Others,70.7,1
5238,0,Yes,No,33,Yes,No,DSL,No,Yes,No,Yes,One year,Yes,Others,53.75,0
2855,0,Yes,Yes,42,Yes,No,No,No,No,No,No,Two year,No,Others,19.35,0
3109,0,No,No,56,Yes,Yes,No,No,No,No,No,Two year,Yes,Others,25.95,0
1994,0,No,No,22,Yes,No,No,No,No,No,No,One year,No,Others,19.6,0
4517,1,Yes,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,99.55,1
514,0,No,No,30,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Others,95.0,0
1860,0,Yes,Yes,71,Yes,No,No,No,No,No,No,Two year,No,Others,19.45,0
3617,1,Yes,No,18,No,No,DSL,No,No,Yes,No,Month-to-month,Yes,Electronic check,48.35,1
2705,0,Yes,No,72,Yes,Yes,No,No,No,No,No,Two year,No,Others,25.65,0
4387,0,No,Yes,1,Yes,No,No,No,No,No,No,Month-to-month,Yes,Others,20.25,0
875,0,No,No,3,No,No,DSL,No,No,No,No,Month-to-month,Yes,Others,34.8,0
3046,0,Yes,No,61,Yes,Yes,Fiber optic,No,No,Yes,Yes,One year,Yes,Others,103.3,0
6850,0,No,Yes,66,Yes,Yes,DSL,Yes,Yes,No,Yes,Two year,No,Others,65.7,0
5425,0,No,No,30,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,No,Electronic check,100.45,0
329,1,No,No,17,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Others,82.65,0
84,0,Yes,No,49,Yes,No,No,No,No,No,No,Two year,Yes,Others,20.15,0
2653,0,Yes,Yes,70,Yes,No,DSL,Yes,No,No,Yes,Two year,No,Others,75.35,0
4363,0,Yes,No,56,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Others,85.6,0
2756,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,No,Others,20.95,1
4291,0,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Two year,No,Others,110.3,0
4923,0,No,No,52,Yes,No,DSL,Yes,No,No,No,Month-to-month,Yes,Others,49.75,0
6008,0,Yes,Yes,15,Yes,No,No,No,No,No,No,One year,Yes,Others,19.5,0
421,0,No,No,7,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Others,69.85,0
4316,0,No,No,69,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Two year,No,Others,90.65,0
3558,0,Yes,Yes,28,Yes,Yes,Fiber optic,No,No,No,No,One year,No,Others,92.2,0
4835,0,Yes,No,65,Yes,Yes,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,104.25,0
6705,0,Yes,Yes,22,Yes,No,DSL,No,No,No,Yes,Month-to-month,Yes,Electronic check,51.1,0
1776,1,Yes,No,72,Yes,Yes,No,No,No,No,No,Two year,Yes,Others,25.0,0
1867,0,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,No,Electronic check,83.75,1
5163,0,Yes,Yes,19,No,No,DSL,Yes,Yes,No,No,Month-to-month,Yes,Others,34.95,0
2571,0,Yes,Yes,42,Yes,No,Fiber optic,No,No,Yes,Yes,Two year,Yes,Electronic check,100.4,0
1305,0,No,No,28,Yes,No,DSL,No,No,Yes,No,Month-to-month,Yes,Others,59.55,0
557,0,No,No,38,Yes,No,DSL,Yes,Yes,No,Yes,One year,No,Others,70.6,0
6662,0,No,No,47,No,No,DSL,Yes,Yes,No,Yes,One year,No,Others,39.65,0
1543,0,Yes,No,5,Yes,No,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,69.95,1
3088,0,Yes,Yes,46,Yes,No,DSL,Yes,No,Yes,Yes,Two year,No,Others,81.0,0
119,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Others,85.2,0
5902,0,Yes,No,9,Yes,No,DSL,No,Yes,No,No,Month-to-month,No,Others,50.85,0
5573,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,69.85,1
5156,0,No,No,17,Yes,No,DSL,Yes,Yes,No,No,One year,No,Others,56.1,0
1667,0,No,No,14,Yes,Yes,No,No,No,No,No,One year,Yes,Others,24.8,0
3643,0,Yes,No,53,Yes,No,No,No,No,No,No,One year,No,Others,19.05,0
1828,0,No,No,42,Yes,Yes,No,No,No,No,No,One year,No,Electronic check,25.05,0
4894,1,Yes,No,57,Yes,Yes,DSL,No,Yes,Yes,No,One year,Yes,Others,71.1,0
876,0,No,No,15,Yes,No,Fiber optic,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,105.1,1
3776,0,Yes,No,43,Yes,No,DSL,No,No,No,No,One year,Yes,Others,56.35,0
5439,1,No,No,32,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Others,96.15,1
978,1,Yes,No,62,Yes,Yes,Fiber optic,No,Yes,Yes,No,One year,Yes,Electronic check,103.75,1
6488,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,69.5,1
1244,0,No,No,15,Yes,No,No,No,No,No,No,Month-to-month,No,Others,19.4,1
3374,1,No,No,2,Yes,No,DSL,Yes,Yes,No,No,Month-to-month,No,Others,54.85,1
2115,0,No,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,118.65,0
3699,0,Yes,No,30,Yes,No,DSL,No,Yes,Yes,Yes,One year,No,Others,70.25,0
4150,1,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,89.0,0
6538,0,No,No,2,Yes,No,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,79.85,1
738,1,No,No,42,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Others,79.35,0
6011,0,Yes,Yes,37,Yes,No,No,No,No,No,No,Month-to-month,No,Electronic check,19.35,0
1903,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,92.0,0
3751,0,Yes,No,60,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Others,109.45,0
3584,0,Yes,No,8,Yes,No,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Others,75.0,0
5000,0,No,No,6,Yes,No,DSL,No,No,No,Yes,Month-to-month,Yes,Others,49.5,0
2867,0,No,No,24,Yes,No,No,No,No,No,No,One year,No,Others,20.45,0
2033,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,Yes,Others,20.2,1
1375,0,Yes,Yes,39,Yes,No,No,No,No,No,No,Two year,Yes,Others,19.85,0
4126,0,Yes,Yes,6,Yes,No,No,No,No,No,No,Month-to-month,No,Others,19.55,0
6494,0,No,Yes,26,No,No,DSL,No,No,Yes,No,Month-to-month,Yes,Others,29.8,0
3885,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,74.95,0
1449,1,No,No,6,Yes,No,No,No,No,No,No,Month-to-month,No,Others,19.5,0
3199,0,No,No,68,Yes,Yes,No,No,No,No,No,Two year,No,Others,25.5,0
4154,0,No,No,6,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,1
4315,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,79.55,1
2378,0,Yes,No,35,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,70.3,1
3253,0,Yes,Yes,36,Yes,Yes,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Others,104.5,0
6612,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Others,69.9,1
6569,0,Yes,Yes,8,Yes,No,No,No,No,No,No,Two year,No,Others,19.5,0
1388,0,Yes,Yes,12,Yes,No,DSL,No,No,Yes,No,Month-to-month,Yes,Others,58.35,0
3406,0,No,No,31,Yes,No,No,No,No,No,No,One year,No,Others,20.95,0
5906,1,No,No,14,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,78.95,1
4654,0,Yes,Yes,42,Yes,No,No,No,No,No,No,One year,Yes,Electronic check,19.05,0
553,0,Yes,Yes,23,Yes,Yes,No,No,No,No,No,Two year,Yes,Others,25.6,0
3183,1,Yes,No,3,No,No,DSL,No,No,No,No,Month-to-month,Yes,Others,36.45,1
1395,0,Yes,No,41,Yes,Yes,DSL,No,No,Yes,No,One year,Yes,Electronic check,73.0,1
5692,0,Yes,Yes,9,Yes,No,DSL,No,Yes,No,Yes,Month-to-month,No,Others,54.8,0
4026,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Others,114.3,0
1373,0,No,Yes,1,Yes,No,No,No,No,No,No,Month-to-month,No,Others,19.85,0
968,0,No,No,71,Yes,No,DSL,Yes,Yes,Yes,Yes,Two year,No,Others,77.35,0
239,0,No,No,16,Yes,No,No,No,No,No,No,Two year,No,Others,19.75,0
6516,0,No,Yes,1,Yes,No,DSL,No,No,Yes,No,Month-to-month,No,Electronic check,48.95,1
1546,0,No,No,60,Yes,No,No,No,No,No,No,Two year,No,Others,19.85,0
2138,0,Yes,Yes,54,Yes,No,DSL,Yes,No,Yes,Yes,Two year,No,Others,69.95,0
4372,0,Yes,Yes,1,Yes,No,No,No,No,No,No,Month-to-month,Yes,Others,20.15,0
6495,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,69.65,1
1746,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Others,116.45,0
6756,1,Yes,No,22,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Others,89.75,0
6106,0,No,No,2,Yes,No,DSL,Yes,No,Yes,No,Month-to-month,Yes,Others,55.1,1
1110,0,No,No,60,No,No,DSL,Yes,Yes,Yes,No,Two year,No,Others,39.6,0
5204,1,Yes,No,38,No,No,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,24.85,0
5369,0,No,No,34,Yes,No,No,No,No,No,No,Month-to-month,No,Others,20.35,0
2125,0,Yes,Yes,67,Yes,Yes,DSL,Yes,No,No,No,Two year,Yes,Electronic check,75.5,0
6306,0,No,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,One year,Yes,Others,116.3,0
4787,0,Yes,No,4,Yes,No,DSL,Yes,Yes,No,No,Month-to-month,No,Others,54.7,0
3274,0,No,No,34,Yes,No,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.1,0
3976,0,No,No,4,No,No,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,24.45,1
1559,0,No,No,2,Yes,No,No,No,No,No,No,Month-to-month,No,Others,20.35,0
4943,0,Yes,No,71,Yes,No,DSL,Yes,Yes,Yes,Yes,Two year,Yes,Others,84.4,0
4388,0,No,No,17,Yes,No,No,No,No,No,No,Two year,No,Others,19.4,0
1607,1,Yes,No,13,Yes,No,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Others,89.05,1
6870,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Others,74.6,0
2634,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.8,1
1125,1,Yes,No,39,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,105.65,1
5408,0,No,No,51,Yes,Yes,No,No,No,No,No,Two year,No,Others,24.95,0
5568,0,Yes,No,44,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Others,95.1,0
4866,0,No,No,16,Yes,Yes,DSL,No,No,No,No,Month-to-month,Yes,Others,63.05,0
1341,0,No,Yes,3,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Others,54.7,1
5186,1,No,No,1,No,No,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,36.45,1
6532,1,No,No,18,Yes,No,No,No,No,No,No,One year,No,Others,20.35,0
1284,0,Yes,Yes,59,Yes,No,No,No,No,No,No,Two year,No,Others,19.85,0
1879,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,70.05,1
5726,0,Yes,Yes,47,Yes,No,No,No,No,No,No,Two year,Yes,Others,21.3,0
6263,0,No,No,25,No,No,DSL,No,No,Yes,Yes,One year,No,Electronic check,54.2,0
6953,1,No,No,13,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,82.0,1
276,0,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,105.05,1
3938,0,No,No,2,Yes,No,DSL,Yes,No,No,No,Month-to-month,No,Others,50.95,0
4063,0,No,No,10,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,94.85,1
4452,0,Yes,No,70,Yes,No,DSL,Yes,Yes,Yes,Yes,Two year,No,Others,86.45,0
6729,0,Yes,Yes,68,Yes,No,DSL,No,No,Yes,Yes,Two year,Yes,Others,72.95,0
6131,1,No,No,47,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,95.05,1
2265,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Others,112.95,1
4085,0,No,No,30,No,No,DSL,No,No,No,Yes,One year,Yes,Others,40.35,0
3942,0,No,No,1,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,42.9,1
3681,1,Yes,No,46,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,101.0,1
1592,0,Yes,Yes,42,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Others,77.95,1
2237,0,Yes,Yes,27,No,No,DSL,No,Yes,Yes,No,One year,Yes,Others,45.85,0
3504,0,Yes,Yes,68,Yes,No,No,No,No,No,No,Two year,No,Others,19.95,0
4825,0,No,No,22,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,83.05,0
368,0,Yes,No,71,Yes,Yes,Fiber optic,No,No,Yes,No,One year,Yes,Others,98.65,0
6859,0,No,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,No,Others,111.3,0
555,0,Yes,Yes,56,Yes,Yes,DSL,Yes,No,Yes,No,One year,Yes,Others,68.75,0
1952,0,Yes,Yes,20,Yes,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Others,95.5,0
2372,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Two year,No,Others,90.3,0
3704,0,Yes,Yes,68,Yes,Yes,DSL,Yes,Yes,Yes,No,One year,Yes,Others,73.0,0
1219,0,Yes,Yes,62,Yes,Yes,DSL,No,No,No,No,Month-to-month,Yes,Others,70.45,0
2734,0,No,No,11,Yes,No,No,No,No,No,No,Month-to-month,No,Others,20.25,0
3044,0,No,No,1,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Others,45.4,1
6837,1,No,No,6,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,79.7,0
1779,0,No,No,2,Yes,No,Fiber optic,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,91.15,0
854,0,No,No,68,Yes,No,No,No,No,No,No,Two year,No,Others,20.5,0
3439,1,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Two year,Yes,Others,104.15,1
